"filename", "language", "Python", "pip requirements", "Markdown", "JavaScript", "CSS", "HTML", "JSON", "XML", "TypeScript", "YAML", "comment", "blank", "total"
"f:\XM\HoYoGameLauncher\.github\ISSUE_TEMPLATE\bug.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 2, 59
"f:\XM\HoYoGameLauncher\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 6, 30
"f:\XM\HoYoGameLauncher\api\__init__.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"f:\XM\HoYoGameLauncher\api\auth.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 64
"f:\XM\HoYoGameLauncher\api\endpoint.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 42
"f:\XM\HoYoGameLauncher\config.example.json", "JSON", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 29
"f:\XM\HoYoGameLauncher\data\Agreement.html", "HTML", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 12, 153
"f:\XM\HoYoGameLauncher\data\PrivacyRights.html", "HTML", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 8, 4, 80
"f:\XM\HoYoGameLauncher\data\avatar.json", "JSON", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 81
"f:\XM\HoYoGameLauncher\data\language\en-US.json", "JSON", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"f:\XM\HoYoGameLauncher\data\language\zh-CA.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\XM\HoYoGameLauncher\data\language\zh-CN.json", "JSON", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"f:\XM\HoYoGameLauncher\data\url.json", "JSON", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"f:\XM\HoYoGameLauncher\dev.md", "Markdown", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 36, 263
"f:\XM\HoYoGameLauncher\docs\404.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"f:\XM\HoYoGameLauncher\docs\assets\404.html-0198513d.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\XM\HoYoGameLauncher\docs\assets\404.html-f9875e7b.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\XM\HoYoGameLauncher\docs\assets\app-9525e4da.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 1, 11
"f:\XM\HoYoGameLauncher\docs\assets\back-to-top-8efcbe56.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"f:\XM\HoYoGameLauncher\docs\assets\index.html-09f7e834.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\XM\HoYoGameLauncher\docs\assets\index.html-0c275fdf.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\XM\HoYoGameLauncher\docs\assets\index.html-5ed19fcf.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"f:\XM\HoYoGameLauncher\docs\assets\index.html-d16ca72f.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"f:\XM\HoYoGameLauncher\docs\assets\style-7f612a9c.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"f:\XM\HoYoGameLauncher\docs\dev\index.html", "HTML", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 60
"f:\XM\HoYoGameLauncher\docs\index.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"f:\XM\HoYoGameLauncher\docs\raw\docs\.vuepress\config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 2, 2, 27
"f:\XM\HoYoGameLauncher\docs\raw\docs\README.md", "Markdown", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 10, 60
"f:\XM\HoYoGameLauncher\docs\raw\docs\dev\readme.md", "Markdown", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 36, 263
"f:\XM\HoYoGameLauncher\docs\raw\package.json", "JSON", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"f:\XM\HoYoGameLauncher\env.py", "Python", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 23, 186
"f:\XM\HoYoGameLauncher\html\index.html", "HTML", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 15, 7, 127
"f:\XM\HoYoGameLauncher\html\setting.html", "HTML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 1, 7, 52
"f:\XM\HoYoGameLauncher\html\static\bookmark.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"f:\XM\HoYoGameLauncher\html\static\css\dark.css", "CSS", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 10, 43
